Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6a0550720fc9c44a03638421,663aa6420a964c2a7740b9d7,RETURNED,Not Applicable,2026-05-14T04:33:01.581000Z,,,,,,11268,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6a055076e9b7dbfca2505c5d,673dda5287206444a26549cb,RETURNED,Not Applicable,2026-05-14T04:33:00.752000Z,,,,,,2156,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6a05507a74791f651f6e4a28,559002fefdf99b3f7aada38f,RETURNED,Not Applicable,2026-05-14T04:33:06.348000Z,,,,,,4223,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6a0550dedf3aaf42cb21e076,69e14dcb8731e5cddff8fe63,RETURNED,Not Applicable,2026-05-14T04:34:44.110000Z,,,,,,884,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6a0550e1afb20a73e2b71bda,6942e57738f4e53ee0c5442b,RETURNED,Not Applicable,2026-05-14T04:34:44.355000Z,,,,,,1085,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6a0550e455479d952d6e4a00,5c309bb410677f0001dda0ed,RETURNED,Not Applicable,2026-05-14T04:37:36.077000Z,,,,,,9532,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6a0550e4bd8e9eea83b8e327,5c57c06ed05b82000139682e,RETURNED,Not Applicable,2026-05-14T04:44:14.535000Z,,,,,,7598,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6a0550ebd72621d2c20f0f3d,698120fd891303e48d46daaf,RETURNED,Not Applicable,2026-05-14T04:35:20.570000Z,,,,,,1493,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6a0550f3bc44d2f5bd6c8129,69c2b77db2ac0175e25c6c2f,RETURNED,Not Applicable,2026-05-14T04:35:05.568000Z,,,,,,201,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6a05513c9731666e73021db0,69e00656324754e2872144cb,RETURNED,Not Applicable,2026-05-14T04:38:51.729000Z,,,,,,1379,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6a055144ddf89353814c7396,69e6bcce50033175c355aec2,RETURNED,Not Applicable,2026-05-14T04:36:24.627000Z,,,,,,144,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
